,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,GBA,GBD,GBH,IWA,IWD,IWH,LBA,LBD,LBH,PSA,PSD,PSH,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH,matchID,Season,HomeTeamDay,AwayTeamDay,ones,HomeTeamHomeDay,AwayTeamAwayDay,HW,AW,D,HR,AR,ordinalHR,1_last_HTR,2_last_HTR,3_last_HTR,1_last_ATR,2_last_ATR,3_last_ATR,1_last_HTHR,2_last_HTHR,1_last_ATAR,2_last_ATAR,HTW_rate,ATW_rate,HTD_rate,ATD_rate,7_HTW_rate,12_HTW_rate,7_ATW_rate,12_ATW_rate,7_HTD_rate,12_HTD_rate,7_ATD_rate,12_ATD_rate,5_HTHW_rate,5_ATAW_rate,HTHW_rate,HTHD_rate,ATAW_rate,ATAD_rate,7_HTL_rate,12_HTL_rate,7_ATL_rate,12_ATL_rate,HTL_rate,ATL_rate,HTHL_rate,ATAL_rate
10,2008-08-23,Liverpool,Middlesbrough,2,1,H,0,10.0,4.5,1.36,8.5,4.0,1.4,7.2,4.5,1.35,8.0,4.33,1.38,6.5,4.0,1.4,9.0,4.2,1.4,,,,8.0,4.5,1.33,8.0,4.5,1.4,8.5,4.6,1.4,9.5,4.5,1.36,10,2008,2,2,1,1.0,1.0,1,0,0,W,L,1.0,W,,,W,,,,,,,0.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,
11,2008-08-23,Newcastle,Bolton,1,0,H,0,4.75,3.5,1.8,4.75,3.25,1.8,4.7,3.35,1.7,4.5,3.3,1.8,4.2,3.3,1.75,4.5,3.5,1.8,,,,4.5,3.4,1.7,4.5,3.5,1.8,4.8,3.5,1.8,4.5,3.4,1.83,11,2008,2,2,1,1.0,1.0,1,0,0,W,L,1.0,D,,,W,,,,,,,0.0,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,
12,2008-08-23,Tottenham,Sunderland,1,2,A,0,7.0,4.0,1.5,6.5,3.75,1.5,7.5,4.0,1.4,6.5,3.75,1.53,5.5,3.8,1.5,7.0,3.75,1.53,,,,6.75,3.8,1.45,7.5,3.8,1.5,7.0,4.2,1.5,7.5,4.2,1.44,12,2008,2,2,1,1.0,1.0,0,1,0,L,W,0.0,L,,,L,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,
13,2008-08-23,West Brom,Everton,1,2,A,0,2.5,3.25,2.88,2.5,3.25,2.7,2.45,3.15,2.65,2.5,3.2,2.75,2.3,3.1,2.8,2.5,3.3,2.8,,,,2.5,3.2,2.6,2.5,3.2,2.88,2.5,3.3,2.9,2.62,3.3,2.62,13,2008,2,2,1,1.0,1.0,0,1,0,L,W,0.0,L,,,L,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,
14,2008-08-23,Blackburn,Hull,1,1,D,1,7.0,3.75,1.57,6.0,3.6,1.57,6.0,3.45,1.55,5.5,3.6,1.6,4.8,3.6,1.6,6.0,3.6,1.62,,,,5.5,3.5,1.57,6.0,3.6,1.62,7.0,3.75,1.55,6.0,3.8,1.57,14,2008,2,2,1,1.0,1.0,0,0,1,D,D,0.5,W,,,W,,,,,,,0.5,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,
15,2008-08-23,Fulham,Arsenal,1,0,H,0,1.57,3.75,6.5,1.57,3.6,6.0,1.55,3.45,6.0,1.6,3.5,6.0,1.6,3.5,5.0,1.62,3.6,6.0,,,,1.57,3.5,5.5,1.57,3.75,6.5,1.55,3.9,6.5,1.57,3.8,6.0,15,2008,2,2,1,1.0,1.0,1,0,0,W,L,1.0,L,,,W,,,,,,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.5,,
16,2008-08-23,Stoke,Aston Villa,3,2,H,0,1.73,3.6,5.0,1.73,3.3,5.0,1.7,3.4,4.65,1.73,3.4,5.0,1.7,3.4,4.3,1.8,3.25,5.0,,,,1.7,3.4,4.5,1.73,3.5,5.0,1.7,3.7,5.3,1.7,3.6,5.0,16,2008,2,2,1,1.0,1.0,1,0,0,W,L,1.0,L,,,W,,,,,,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.5,,
17,2008-08-24,Man City,West Ham,3,0,H,0,3.2,3.25,2.3,3.0,3.25,2.25,3.25,3.15,2.1,3.1,3.25,2.25,3.1,3.2,2.1,3.2,3.3,2.25,,,,2.9,3.2,2.25,3.4,3.2,2.2,3.3,3.25,2.3,3.2,3.3,2.25,17,2008,2,2,1,1.0,1.0,1,0,0,W,L,1.0,L,,,W,,,,,,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.5,,
18,2008-08-24,Wigan,Chelsea,0,1,A,1,1.4,4.5,8.5,1.44,3.75,8.5,1.35,4.25,8.0,1.42,4.25,7.5,1.4,4.0,6.5,1.44,4.0,8.0,,,,1.4,4.0,7.5,1.4,4.5,8.0,1.4,4.8,8.0,1.4,4.33,8.5,18,2008,2,2,1,1.0,1.0,0,1,0,L,W,0.0,L,,,W,,,,,,,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.5,,
19,2008-08-25,Portsmouth,Man United,0,1,A,1,1.8,3.4,4.8,1.75,3.4,5.0,1.65,3.4,5.0,1.83,3.3,4.6,1.75,3.3,4.2,1.73,3.5,5.0,,,,1.7,3.4,4.5,1.8,3.25,5.0,1.8,3.4,5.0,1.8,3.3,4.8,19,2008,2,2,1,1.0,1.0,0,1,0,L,W,0.0,L,,,D,,,,,,,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,1.0,0.5,,
20,2008-08-30,West Ham,Blackburn,4,1,H,1,2.88,3.25,2.5,2.8,3.25,2.5,2.9,3.15,2.3,2.75,3.2,2.5,2.8,3.1,2.3,3.0,3.2,2.1,,,,2.8,3.2,2.3,3.0,3.25,2.38,2.8,3.3,2.55,2.9,3.3,2.4,20,2008,3,3,1,2.0,2.0,1,0,0,W,L,1.0,L,W,,D,W,,W,,W,,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,,,,,,,0.5,0.0,0.5,0.0,,,,,0.6666666666666667,0.33333333333333337,0.5,0.5
21,2008-08-30,Arsenal,Newcastle,3,0,H,0,9.0,4.0,1.44,8.0,3.8,1.44,7.5,4.0,1.4,8.0,4.0,1.45,6.5,4.0,1.4,6.5,3.6,1.44,,,,7.25,4.0,1.4,8.5,4.0,1.44,8.5,4.1,1.45,8.0,4.0,1.44,21,2008,3,3,1,2.0,2.0,1,0,0,W,L,1.0,L,W,,W,D,,W,,D,,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,,,,,,,,,,0.5,0.0,0.0,0.5,,,,,0.6666666666666667,0.33333333333333337,0.5,0.5
22,2008-08-30,Bolton,West Brom,0,0,D,0,4.5,3.5,1.83,4.5,3.25,1.83,4.25,3.25,1.8,4.0,3.3,1.9,3.8,3.2,1.85,4.0,3.2,1.8,,,,4.2,3.25,1.8,4.5,3.2,1.91,4.5,3.4,1.9,4.2,3.3,1.91,22,2008,3,3,1,2.0,2.0,0,0,1,D,D,0.5,L,W,,L,L,,W,,L,,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,0.5,0.0,0.0,0.0,,,,,0.6666666666666667,1.0,0.5,1.0
23,2008-08-30,Everton,Portsmouth,0,3,A,2,3.75,3.3,2.1,3.6,3.25,2.05,3.9,3.3,1.85,3.6,3.25,2.1,3.3,3.2,2.0,3.0,3.2,2.1,,,,3.5,3.2,2.0,3.6,3.25,2.1,3.8,3.3,2.1,3.5,3.3,2.1,23,2008,3,3,1,2.0,2.0,0,1,0,L,W,0.0,W,L,,L,L,,L,,L,,0.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.6666666666666667,1.0,1.0,1.0
24,2008-08-30,Hull,Wigan,0,5,A,2,2.88,3.25,2.5,2.88,3.25,2.4,2.95,3.15,2.25,2.75,3.2,2.5,2.7,3.1,2.4,2.75,3.2,2.25,,,,2.7,3.2,2.4,2.88,3.2,2.5,2.9,3.2,2.55,2.88,3.2,2.5,24,2008,3,3,1,2.0,2.0,0,1,0,L,W,0.0,D,W,,L,L,,W,,L,,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,,,,,,0.5,0.0,0.0,0.0,,,,,0.33333333333333337,1.0,0.5,1.0
25,2008-08-30,Middlesbrough,Stoke,2,1,H,0,7.0,3.6,1.57,6.5,3.6,1.57,6.0,3.45,1.55,6.0,3.6,1.6,5.0,3.7,1.55,4.5,3.5,1.62,,,,5.5,3.5,1.57,6.5,3.5,1.6,7.0,3.75,1.55,6.0,3.6,1.62,25,2008,3,3,1,2.0,2.0,1,0,0,W,L,1.0,L,W,,W,L,,W,,L,,0.3333333333333333,0.3333333333333333,0.0,0.0,,,,,,,,,,,0.5,0.0,0.0,0.0,,,,,0.6666666666666667,0.6666666666666667,0.5,1.0
26,2008-08-31,Aston Villa,Liverpool,0,0,D,0,2.4,3.25,3.0,2.4,3.25,2.75,2.2,3.15,3.05,2.5,3.2,2.75,2.2,3.1,3.0,2.2,3.2,2.8,,,,2.38,3.2,2.75,2.38,3.25,3.0,2.55,3.25,2.85,2.38,3.2,3.0,26,2008,3,3,1,2.0,2.0,0,0,1,D,D,0.5,L,W,,W,W,,W,,W,,0.3333333333333333,0.6666666666666666,0.0,0.0,,,,,,,,,,,0.5,0.0,0.5,0.0,,,,,0.6666666666666667,0.33333333333333337,0.5,0.5
27,2008-08-31,Chelsea,Tottenham,1,1,D,1,9.0,4.33,1.4,8.5,4.0,1.4,8.75,4.1,1.35,8.5,4.0,1.4,6.5,4.0,1.4,7.0,3.75,1.4,,,,7.25,4.0,1.4,8.5,4.33,1.4,9.0,4.6,1.4,8.5,4.33,1.4,27,2008,3,3,1,2.0,2.0,0,0,1,D,D,0.5,W,W,,L,L,,W,,L,,0.6666666666666666,0.0,0.0,0.0,,,,,,,,,,,0.5,0.0,0.0,0.0,,,,,0.33333333333333337,1.0,0.5,1.0
28,2008-08-31,Sunderland,Man City,0,3,A,1,3.4,3.3,2.2,3.2,3.2,2.2,3.05,3.15,2.2,3.2,3.2,2.25,3.0,3.1,2.2,2.8,3.2,2.2,,,,3.2,3.2,2.1,3.4,3.2,2.2,3.4,3.3,2.25,3.3,3.2,2.25,28,2008,3,3,1,2.0,2.0,0,1,0,L,W,0.0,W,L,,W,L,,L,,L,,0.3333333333333333,0.3333333333333333,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.6666666666666667,0.6666666666666667,1.0,1.0
29,2008-09-13,West Brom,West Ham,3,2,H,2,3.0,3.25,2.4,2.8,3.2,2.38,2.9,3.15,2.3,2.9,3.2,2.4,2.6,3.2,2.4,2.6,3.2,2.38,,,,2.8,3.2,2.3,3.0,3.25,2.38,2.95,3.3,2.5,2.9,3.3,2.4,29,2008,4,4,1,2.0,2.0,1,0,0,W,L,1.0,D,L,L,W,L,W,L,,L,,0.0,0.5,0.25,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.75,0.5,1.0,1.0
30,2008-09-13,Blackburn,Arsenal,0,4,A,2,1.83,3.5,4.5,1.8,3.3,4.5,1.75,3.25,4.5,1.8,3.3,4.5,1.85,3.2,3.8,1.73,3.2,4.33,,,,1.75,3.25,4.5,1.8,3.5,4.5,1.8,3.5,4.8,1.8,3.4,4.75,30,2008,4,4,1,2.0,2.0,0,1,0,L,W,0.0,L,D,W,W,L,W,D,,L,,0.25,0.5,0.25,0.0,,,,,,,,,,,0.0,0.5,0.0,0.0,,,,,0.5,0.5,0.5,1.0
31,2008-09-13,Fulham,Bolton,2,1,H,0,3.3,3.3,2.25,3.4,3.2,2.1,3.2,3.2,2.1,3.2,3.2,2.2,3.0,3.1,2.2,3.0,3.2,2.1,,,,3.0,3.2,2.2,3.4,3.2,2.2,3.4,3.35,2.2,3.3,3.3,2.2,31,2008,3,4,1,2.0,2.0,1,0,0,W,L,1.0,W,L,,D,L,W,W,,L,,0.3333333333333333,0.25,0.0,0.25,,,,,,,,,,,0.5,0.0,0.0,0.0,,,,,0.6666666666666667,0.5,0.5,1.0
32,2008-09-13,Liverpool,Man United,2,1,H,1,2.6,3.0,3.0,2.5,3.0,2.8,2.4,3.1,2.8,2.6,3.0,2.85,2.6,3.0,2.6,2.5,2.88,2.62,,,,2.4,3.05,2.8,2.63,3.0,2.88,2.5,3.1,3.1,2.5,3.1,2.9,32,2008,4,3,1,2.0,2.0,1,0,0,W,L,1.0,D,W,W,W,D,,W,,W,,0.5,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,,,0.5,0.0,0.5,0.0,,,,,0.25,0.33333333333333337,0.5,0.5
33,2008-09-13,Man City,Chelsea,1,3,A,1,1.91,3.3,4.33,1.83,3.3,4.2,1.85,3.3,3.9,1.95,3.4,3.75,1.85,3.2,3.8,1.8,3.2,4.0,,,,1.85,3.25,4.0,1.91,3.25,4.33,1.9,3.35,4.4,1.91,3.3,4.2,33,2008,4,4,1,2.0,2.0,0,1,0,L,W,0.0,W,W,L,D,W,W,W,,W,,0.5,0.5,0.0,0.25,,,,,,,,,,,0.5,0.0,0.5,0.0,,,,,0.5,0.25,0.5,0.5
34,2008-09-13,Newcastle,Hull,1,2,A,1,5.75,3.75,1.62,5.0,3.4,1.7,5.5,3.4,1.6,5.5,3.5,1.65,4.8,3.6,1.6,4.5,3.3,1.67,,,,5.5,3.4,1.6,5.5,3.4,1.7,6.0,3.6,1.65,5.5,3.4,1.7,34,2008,4,4,1,2.0,2.0,0,1,0,L,W,0.0,L,W,D,L,D,W,W,,D,,0.25,0.25,0.25,0.25,,,,,,,,,,,0.5,0.0,0.0,0.5,,,,,0.5,0.5,0.5,0.5
35,2008-09-13,Portsmouth,Middlesbrough,2,1,H,1,3.75,3.5,2.0,3.75,3.25,1.91,3.55,3.25,1.95,3.6,3.25,2.0,3.6,3.2,1.9,3.5,3.2,1.91,,,,3.75,3.25,1.9,3.75,3.4,2.0,3.9,3.45,2.0,3.8,3.3,2.0,35,2008,4,4,1,2.0,2.0,1,0,0,W,L,1.0,W,L,L,W,L,W,L,,L,,0.25,0.5,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.75,0.5,1.0,1.0
36,2008-09-13,Wigan,Sunderland,1,1,D,1,4.0,3.3,2.05,3.6,3.25,2.0,3.55,3.25,1.95,3.6,3.2,2.05,3.2,3.1,2.1,3.2,3.2,2.0,,,,3.5,3.2,2.0,3.6,3.25,2.1,3.7,3.3,2.1,3.75,3.25,2.05,36,2008,4,4,1,2.0,2.0,0,0,1,D,D,0.5,W,L,L,L,W,L,L,,W,,0.25,0.25,0.0,0.0,,,,,,,,,,,0.0,0.0,0.5,0.0,,,,,0.75,0.75,1.0,0.5
37,2008-09-14,Stoke,Everton,2,3,A,1,2.2,3.4,3.4,2.2,3.25,3.1,2.1,3.15,3.25,2.2,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.0,,,,2.2,3.2,3.0,2.2,3.2,3.4,2.25,3.3,3.35,2.2,3.3,3.3,37,2008,4,4,1,2.0,2.0,0,1,0,L,W,0.0,L,W,L,L,W,L,W,,W,,0.25,0.25,0.0,0.0,,,,,,,,,,,0.5,0.0,0.5,0.0,,,,,0.75,0.75,0.5,0.5
38,2008-09-15,Tottenham,Aston Villa,1,2,A,1,3.6,3.3,2.1,3.6,3.25,2.0,3.7,3.15,1.95,3.6,3.25,2.05,3.3,3.2,2.0,3.0,3.2,2.1,,,,3.75,3.25,1.9,3.6,3.25,2.1,3.55,3.45,2.1,3.6,3.3,2.05,38,2008,4,4,1,2.0,2.0,0,1,0,L,W,0.0,D,L,L,D,L,W,L,,L,,0.0,0.25,0.25,0.25,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.75,0.5,1.0,1.0
39,2008-09-20,West Ham,Newcastle,3,1,H,0,3.6,3.3,2.1,3.5,3.25,2.0,3.5,3.2,2.0,3.5,3.2,2.1,3.3,3.2,2.0,3.75,3.4,2.0,,,,3.4,3.25,2.0,3.75,3.4,2.0,3.8,3.5,2.0,3.8,3.3,2.0,39,2008,5,5,1,3.0,3.0,1,0,0,W,L,1.0,L,W,L,L,L,W,W,W,L,D,0.4,0.2,0.0,0.2,,,,,,,,,,,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,0.6,0.6,0.33333333333333337,0.6666666666666667
40,2008-09-20,Liverpool,Stoke,0,0,D,0,15.0,6.5,1.2,11.0,5.5,1.22,12.5,5.25,1.2,12.0,5.75,1.22,11.0,5.2,1.2,15.0,6.0,1.2,,,,12.0,5.5,1.2,13.0,6.0,1.22,17.0,6.5,1.2,15.0,6.0,1.2,40,2008,5,5,1,3.0,3.0,0,0,1,D,D,0.5,W,D,W,L,L,W,W,W,L,L,0.6,0.2,0.2,0.0,,,,,,,,,,,0.6666666666666666,0.0,0.0,0.0,,,,,0.19999999999999996,0.8,0.33333333333333337,1.0
41,2008-09-20,Sunderland,Middlesbrough,2,0,H,0,3.2,3.1,2.38,2.88,3.2,2.3,3.05,3.15,2.2,3.0,3.25,2.3,3.0,3.0,2.25,3.0,3.25,2.37,,,,2.9,3.2,2.25,3.0,3.25,2.38,3.35,3.3,2.25,3.2,3.2,2.3,41,2008,5,5,1,3.0,3.0,1,0,0,W,L,1.0,D,L,W,L,W,L,L,L,L,L,0.2,0.4,0.2,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.6,0.6,1.0,1.0
42,2008-09-20,Blackburn,Fulham,1,0,H,0,3.6,3.3,2.1,3.5,3.25,2.0,3.65,3.3,1.9,3.5,3.2,2.1,3.6,3.2,1.9,3.4,3.4,2.1,,,,3.6,3.25,1.95,3.6,3.25,2.1,3.75,3.4,2.05,3.5,3.3,2.1,42,2008,5,4,1,3.0,2.0,1,0,0,W,L,1.0,L,L,D,W,W,L,L,D,L,,0.2,0.5,0.2,0.0,,,,,,,,,,,0.0,0.3333333333333333,0.0,0.0,,,,,0.6,0.5,0.6666666666666667,1.0
43,2008-09-20,Bolton,Arsenal,1,3,A,2,1.57,3.75,6.5,1.57,3.6,6.0,1.6,3.45,5.4,1.65,3.3,6.0,1.65,3.5,4.5,1.61,3.6,6.0,,,,1.57,3.5,5.5,1.62,3.6,6.0,1.6,3.8,6.2,1.62,3.6,6.0,43,2008,5,5,1,3.0,3.0,0,1,0,L,W,0.0,L,D,L,W,W,L,D,W,W,L,0.2,0.6,0.2,0.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,,0.6,0.4,0.33333333333333337,0.6666666666666667
44,2008-09-21,West Brom,Aston Villa,1,2,A,2,2.25,3.3,3.25,2.25,3.2,3.0,2.3,3.2,2.85,2.25,3.2,3.1,2.3,3.1,2.8,2.2,3.3,3.3,,,,2.35,3.2,2.75,2.25,3.25,3.25,2.25,3.35,3.3,2.4,3.3,2.9,44,2008,5,5,1,3.0,3.0,0,1,0,L,W,0.0,W,D,L,W,D,L,W,L,W,L,0.2,0.4,0.2,0.2,,,,,,,,,,,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,0.6,0.3999999999999999,0.6666666666666667,0.6666666666666667
45,2008-09-21,Tottenham,Wigan,0,0,D,0,5.0,3.6,1.73,4.75,3.5,1.73,5.35,3.45,1.6,5.0,3.3,1.75,4.8,3.6,1.6,5.0,3.5,1.72,,,,4.5,3.4,1.7,5.2,3.5,1.73,5.5,3.6,1.7,5.5,3.4,1.7,45,2008,5,5,1,3.0,3.0,0,0,1,D,D,0.5,L,D,L,D,W,L,L,L,W,L,0.0,0.2,0.2,0.2,,,,,,,,,,,0.0,0.0,0.3333333333333333,0.0,,,,,0.8,0.6,1.0,0.6666666666666667
46,2008-09-21,Man City,Portsmouth,6,0,H,0,4.0,3.3,2.0,3.75,3.25,1.91,3.8,3.35,1.85,3.75,3.25,2.0,3.6,3.2,1.9,3.5,3.3,2.1,,,,3.6,3.25,1.95,3.75,3.25,2.05,3.8,3.35,2.05,3.8,3.3,2.0,46,2008,5,5,1,3.0,3.0,1,0,0,W,L,1.0,L,W,W,W,W,L,L,W,W,L,0.4,0.4,0.0,0.0,,,,,,,,,,,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,0.6,0.6,0.6666666666666667,0.6666666666666667
47,2008-09-21,Chelsea,Man United,1,1,D,1,3.6,3.1,2.2,3.4,3.1,2.2,3.3,3.05,2.15,3.5,3.1,2.2,3.3,3.0,2.1,3.25,3.25,2.25,,,,3.1,3.1,2.2,3.5,3.1,2.2,3.7,3.1,2.2,3.6,3.0,2.2,47,2008,5,4,1,3.0,3.0,0,0,1,D,D,0.5,W,D,W,L,W,D,D,W,L,W,0.6,0.25,0.2,0.25,,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,,0.19999999999999996,0.5,0.33333333333333337,0.6666666666666667
48,2008-09-21,Hull,Everton,2,2,D,0,2.3,3.4,3.1,2.38,3.25,2.75,2.25,3.2,2.9,2.3,3.25,3.0,2.4,3.2,2.6,2.2,3.3,3.3,,,,2.3,3.2,2.8,2.38,3.25,3.0,2.3,3.4,3.15,2.25,3.25,3.25,48,2008,5,5,1,3.0,3.0,0,0,1,D,D,0.5,W,L,D,W,L,W,L,W,W,W,0.4,0.4,0.2,0.0,,,,,,,,,,,0.3333333333333333,0.0,0.6666666666666666,0.0,,,,,0.3999999999999999,0.6,0.6666666666666667,0.33333333333333337
